Id,SpotId,UserId,UserName,Stars,Goods,Year,Month,Day,Hour,Minute,Second,CommentData,PhotoUrl1,PhotoUrl2,PhotoUrl3
1,1,-1,"PropitiousCandy",1,6,2017,9,23,11,43,5,"各位不要来啦，上年已经结束了！！⚠️上年，上年，上年，没错，就是上年，已经结束啦！前几天朋友看到说想来，兴致勃勃就来了，结果......到了没找到，打电话询问之下才知道，上年结束了。应该早点先打电话来的，来到扑空了，只能逛逛商场，买买买了！","http://qcloud.dpfile.com/pc/MwcViagNgI8tH4tU00SZA9kqhZ39e5ealNcEUOcNWDx-i6K-JSBN49yfG7vsTCMf.jpg","http://qcloud.dpfile.com/pc/er1LMn1Q_DnWjR0-UWbOUXfJkwxAiix2A_JAmoifduseNGc2cz3hUTNbsI_JQmjo.jpg","http://qcloud.dpfile.com/pc/1TMrekRwzwmIjp8zYax1E48NZgrmvhtm9s0kJ2iuTYtKtgeTifvyIr5qenVUs-8M.jpg"
2,1,-1,"dpuser_4264256038",5,2,2016,8,14,10,30,57,"似乎不错，改天去看看了再评价，希望有惊喜吧","","",""
3,2,-1,"深圳木东哥",5,2,2016,7,29,15,8,13,"很美，很好看，值得去看看!!!","","",""
4,2,-1,"fffffjjj",3,5,2016,7,21,6,32,22,"飞都不会飞。貌似死了太多了……只能看到一闪没了……也没有广告说的那么好没有那么多虫……反正不飞的奄奄一息的……","","",""
5,3,-1,"dpuser_4653423911",5,1,2017,3,25,6,2,15,"很好玩，小朋友很喜欢。。。。不错","","",""
6,3,-1,"银s空间_205",5,0,2017,11,12,12,21,57,"很漂亮很温馨，适合小宝贝去看！！！！！","","",""
7,4,-1,"dpuser_03449131494",5,0,2016,6,17,15,59,24,"活动不错，小朋友玩得很开心。。。","","",""
8,4,-1,"番茄sssy",5,7,2016,9,3,12,4,33,"坐落在凤凰山脚下的一个小村庄~民族英雄文天祥后人兴建的小村~有60多座明清民居的古建筑群距离今已经有700多年风霜雨雪的历史！是深圳目前保存得最完整的古建筑群！村口有座六层石基堆砌的古塔，是叫文昌塔吧~没啥文化也是听别人说起的哈哈哈！这个村里面的房屋都好古老，每个屋子窗口都装上防蚊虫的密网！探头看进去黑漆漆~有点阴森森的感觉！因为我是傍晚时分去到那边，天还没黑，但也差不多黑了。凤凰村至今保存的完好，附近的都是新村了，在新村包围之下，形成比较特别的风景线~路经也不禁慢下脚步来观望。","http://qcloud.dpfile.com/pc/8P0vL0ECHWr7H2bFc_mf1EDcuD9vBdrfnQP1yb67VWxyGWzP23rzMJWuya2RaKhQ.jpg","http://qcloud.dpfile.com/pc/1nyk01CZeccbLCfP3LOBTHRXEiWiyCjsvlI9Km7NPcdKuoPChYym00jeS3a2KeBM.jpg","http://qcloud.dpfile.com/pc/Ne4zzNdM_Rs8RxzlALDwPsDbPFVWks3RyxBaTo27rKFaj8dOY-P5RFGPEb1SGs0z.jpg"
9,5,-1,"路小斯",2,13,2017,11,16,18,19,43,"周末想探一探深圳没去过的地方，于是在点评上看到了这个地方，不远万里前来，顶着个烈日，然而，整个景点也太坑了，这根本就不能算做是一个景点好吗。冷冷清清的。附近没有什么牌子，从村子里拐进去。。。就莫名到了。这附近的旧屋全都空出来，中间是非常窄小的巷子，可看到一线天。这巷子也算是窄得比较有特色吧，还是有游客拍拍照片的。广场中间有座祠堂，不过也没啥看头的。有个放生池，不过上面写着“禁止放生”。如果这算一个景点，那也是根本不值得特地来的景点。如果是要去凤凰山，顺路来看看倒是可以。","http://qcloud.dpfile.com/pc/m9fKcJcWhDw2pbBK_V1JVDYRPX1yt9ebSxxLjvyKBD5l4lRC806AGejAwax0GnMv.jpg","http://qcloud.dpfile.com/pc/buRBKDhlGzI7VdKLGdNXSzgiWmkBDuW1mhhCFt5L11KzfVCCtPUsYgnfMCmskRnK.jpg","http://qcloud.dpfile.com/pc/l1G_hFjefQz5U1MyWy6zrzOfGcI9baZ5Hy5FBPMR0d1H0ljsFyzKbcwQS6K-yRs1.jpg"
10,5,-1,"g狐",2,1,2016,10,7,12,42,31,"刚刚修葺好不久的样子，颜值不错人也少，不过我要吐槽一下。首先，停车位完全没有，要停去马路对面小区，走过来再过马路忒远了其次，完全没招商，五一节都只有四五家店开着（咖啡，手工艺，油画，卖水果酒）其他园区未招完招商嘛，还会做个外墙预告，某某大牌comingsoon之类的，可以参考佛山的岭南xx园，或者甘坑，虽然商家不多，但是人家小吃店和鲜花都搞好了，人气也起来了。但是这里啥没有，空荡荡最后，工作人员态度蛮横，完全赶客，停车那里的工作人员只懂得挥手赶人，问哪里停车好，继续挥手说这里不能停。在广场有人骑单车过去了，工作人员就特别凶的吆喝，但是周边明明没有告示牌，人家游客不是有意要违反规定啊，这么凶干啥。在文氏宗祠，一个姓文的工作人员，在门口很凶的说，两个人啊，眼看手勿动，严禁跨越红线。每个去看的人，没有看到啥有意思的讲解内容，都得到了凶巴巴的赶客警告。蛮可惜的，希望招商之后，更换一批有旅游服务意识，以本地为自豪又愿意分享的工作人员。另外，广场那家甜品店的酸奶水平很高！","http://qcloud.dpfile.com/pc/XpiE1kiivjjOlopT_0z8N3ki-yG-NA1p2S4gxi9yhd7MA3R83uYkqEgBfq442qWN.jpg","http://qcloud.dpfile.com/pc/bGcTDnerWbRxkhmjXbPUOJ7Av_46xrFZpmqbrq3cXMRJkvMMT9cueZChR6uG1_nN.jpg","http://qcloud.dpfile.com/pc/o4TMgZ-fNHX1x6TT5uyjfuwnqqMSrMW0FnzsAtHLlHThR6ODm8MkBoLTpa3dZbr4.jpg"
11,6,-1,"Mango_amo",3,5,2016,1,19,9,46,37,"工作日去的人很少，因为太冷清感觉都不像一个景点，房子都重新修葺过，但没有任何人文方面的补充和互动，感觉挺单薄的，可以走马观花的看一看","http://qcloud.dpfile.com/pc/XsSvTLEgsXStMMgBoM_lcldddVGgSUqvx8zaPOONmgp8MJdP1Kqdm4-kPdOGmJWT.jpg","",""
