id,name,type,address,lng,lat,pname,cityname,adminname,biz_ext_rating,biz_ext_star,telephone,photourl1,photourl2,photourl3
B02F37VQJG,宝利来国际大酒店,住宿服务;宾馆酒店;五星级宾馆,福永大道1号,113.827368,22.672588,广东省,深圳市,宝安区,4.6,5,0755-27388888,http://store.is.autonavi.com/showpic/b30c182698ee144c7b5caacc2bc0f609,http://store.is.autonavi.com/showpic/190eb8e4bdc2e58c113117b8eb6b87c1,http://store.is.autonavi.com/showpic/501a723143b264a69b75ce0ef749aaf3
B02F38IEP8,芭堤雅酒店,住宿服务;宾馆酒店;四星级宾馆,大梅沙环梅路20号,114.310088,22.600057,广东省,深圳市,盐田区,4.2,4,0755-25252888,http://store.is.autonavi.com/showpic/5a5c55c8811f58181a0d7bf2e7d6d48d,http://store.is.autonavi.com/showpic/a9c5749ae623a5cffabc7c03cdb8c9f9,http://store.is.autonavi.com/showpic/c501546b17974aa318215ec84f7ad196
B02F300032,小梅沙大酒店,住宿服务;宾馆酒店;三星级宾馆,葵盐路23号,114.329972,22.602649,广东省,深圳市,盐田区,4.2,3,0755-25035888;0755-25035222,http://store.is.autonavi.com/showpic/80ab51036261a97359e587fffcd1bc69,http://store.is.autonavi.com/showpic/7d614238b9ce920d4ef8e1e5a190616c,http://store.is.autonavi.com/showpic/2626780d4bf5414ff01e04bc19e21164
B02F300926,上海宾馆,住宿服务;宾馆酒店;三星级宾馆,深南中路3032号,114.081965,22.541007,广东省,深圳市,福田区,4.6,3,0755-83365288,http://store.is.autonavi.com/showpic/0beaf7afe83216d84e4c43573e0423e9,http://store.is.autonavi.com/showpic/01077a54ef5c70d95f5520d8d927491d,http://store.is.autonavi.com/showpic/da4fc1291a6754b89cc63f45d1c125a9
B02F37SACJ,金鹏大酒店(深圳龙华地铁站店),住宿服务;宾馆酒店;三星级宾馆,龙华街道人民路252号金鹏商业广场,114.023952,22.653037,广东省,深圳市,龙华区,4.0,3,0755-27700000,http://store.is.autonavi.com/showpic/5ee91b188b0ac6a06bb6ccf82add8ef7,http://store.is.autonavi.com/showpic/dcac87bb0552be6e0e6b6f645379c6fe,http://store.is.autonavi.com/showpic/a79c5d980fc37a5c380ea144307cbfe2
B02F302426,中南海滨大酒店,住宿服务;宾馆酒店;四星级宾馆,南新路3125号,113.919643,22.537961,广东省,深圳市,南山区,4.3,4,0755-26088736,http://store.is.autonavi.com/showpic/7d6326f3ffb13411a2f2651d68839041,http://store.is.autonavi.com/showpic/7df3b8f4b4e3ee67556f8e4b6eee70cd,http://store.is.autonavi.com/showpic/edee715a0f14d0a10cb5a992fa426267
B02F38IHAS,芙蓉宾馆(东门南路),住宿服务;宾馆酒店;三星级宾馆,东门南路2019号,114.123370,22.539870,广东省,深圳市,罗湖区,4.3,3,0755-82235966;0755-82251855,http://store.is.autonavi.com/showpic/2b143799f2152987c3352e511ed77d12,http://store.is.autonavi.com/showpic/39785a5c747abb50e40202a9a0495b30,http://store.is.autonavi.com/showpic/32c714d6a958e4bc2a0a1c87464fa803
B02F37TDX9,火车站大酒店(商务楼),住宿服务;宾馆酒店;三星级宾馆,建设路1008号深圳站1F层,114.117242,22.53175,广东省,深圳市,罗湖区,4.2,3,0755-82321168,http://store.is.autonavi.com/showpic/3ec83b7c8e7269dd2eef9c38b9570e13,http://store.is.autonavi.com/showpic/d6eda1236563164757731f9bf6e8cdbc,http://store.is.autonavi.com/showpic/cc1bdccac21f79c49ba2cfb9ecffbccb
B02F305WWO,湖北宾馆,住宿服务;宾馆酒店;三星级宾馆,解放路3034号,114.11268,22.544448,广东省,深圳市,罗湖区,4.2,3,0755-25560888,http://store.is.autonavi.com/showpic/75b01ccf6aca71f31ee246964d261c3c,http://store.is.autonavi.com/showpic/973ea7a9402ab7ca52f24bbe8c16c41c,http://store.is.autonavi.com/showpic/aed69cbdef39ea45387ea0c63d25b372
B02F301F7C,恒丰海悦国际酒店,住宿服务;宾馆酒店;五星级宾馆,宝民二路127号,113.882003,22.580564,广东省,深圳市,宝安区,4.5,5,0755-27922222,http://store.is.autonavi.com/showpic/904231d4c66cb12a5c920c7fd423458c,http://store.is.autonavi.com/showpic/0ccb36ab9bc6bb371706997fe4b0a56b,http://store.is.autonavi.com/showpic/b78fd9d5a6c5bcbc7c770b358ba1ba4d
B02F305XK7,河东宾馆,住宿服务;宾馆酒店;三星级宾馆,沿河东路19号(深南东路人民桥南侧世界金融中心旁),114.113573,22.540877,广东省,深圳市,罗湖区,4.1,3,0755-82477880,http://store.is.autonavi.com/showpic/167b6e3ab53674ebf7316c7df5da1365,http://store.is.autonavi.com/showpic/bb9ff5b6c2478ae72b5e0adbf8ccf64a,http://store.is.autonavi.com/showpic/ce9afbbf754f2221d714872e1f809d84
B02F37TQBS,大梅沙京基喜来登度假酒店,住宿服务;宾馆酒店;五星级宾馆,大梅沙盐葵路9号,114.314603,22.597782,广东省,深圳市,盐田区,4.5,5,0755-22173719;0755-88886688,http://store.is.autonavi.com/showpic/2d7ef930e40ac73c8409ba6489e655ff,http://store.is.autonavi.com/showpic/418bdf78d997cbb6e045e1db815a6aea,http://store.is.autonavi.com/showpic/53518eff17e5cf2725e1ea032912e8f1
