id,name,type,address,lng,lat,pname,cityname,adminname,biz_ext_rating,biz_ext_cost,telephone,photourl1,photourl2,photourl3
B02F37WO6Z,四海一家(深圳店),餐饮服务;中餐厅;中餐厅,深南大道9028号益田假日广场3层L3-7,113.975883,22.537471,广东省,深圳市,南山区,3.5,180.00,0755-89829988,http://store.is.autonavi.com/showpic/9c79e8f2744cc9f88fdc3d30dc99bdd7,http://store.is.autonavi.com/showpic/5bc8bcef6f793863a201b15fa274b424,http://store.is.autonavi.com/showpic/e533a712cc68a8c13c89d8ae35a3745e
B02F37VKQF,一品小肥羊(龙岗岁宝店),餐饮服务;中餐厅;火锅店,龙翔大道6051号新亚洲花园新德广场岁宝百货1层,114.237280,22.710625,广东省,深圳市,龙岗区,4.6,40.00,0755-28984839,http://store.is.autonavi.com/showpic/0c331c15cc7f7f8422f26c7192a804eb,http://store.is.autonavi.com/showpic/a25240849c6a135b66200ccf9bf987d9,http://store.is.autonavi.com/showpic/1c0ad5b26d8ba0679e8e85f436035bbf
B02F37U1FG,王品牛排(深圳深南店),餐饮服务;外国餐厅;牛扒店(扒房),深南中路1007号红岭大厦1栋1层(红岭南路口),114.103711,22.540553,广东省,深圳市,福田区,4.5,311.00,0755-25866333;0755-25866999,http://store.is.autonavi.com/showpic/9a110e8a578bcabbd850b8c28e537ba0,http://store.is.autonavi.com/showpic/4e5b99612e18a3c433a3d83e69efc740,http://store.is.autonavi.com/showpic/713a320408b25ffc3fa4a4ec6b73bc19
B02F37W057,永和快餐大王(布吉分店),餐饮服务;中餐厅;中餐厅,布吉镇布吉镇新乐路42号,114.118198,22.607029,广东省,深圳市,龙岗区,4.6,21.00,0755-84179619;0755-84277939;18320796569,http://store.is.autonavi.com/showpic/757d6115d2f2165ddf401128a6e80723,http://store.is.autonavi.com/showpic/8359aacfcc368200204df54310b9ac43,http://store.is.autonavi.com/showpic/aa83acf1dbe949391778a73bb6d19fab
B02F37T1OW,缪氏川菜(梅林店),餐饮服务;中餐厅;四川菜(川菜),梅华路207号安通大厦,114.045399,22.563454,广东省,深圳市,福田区,4.5,60.00,0755-83113381;0755-83126969,http://store.is.autonavi.com/showpic/1916088c08ab9d8007fb118c2a77013f,http://store.is.autonavi.com/showpic/1fbc22ccb42fd710a5752c862286207f,http://store.is.autonavi.com/showpic/3490b8eb305b2936388bd0cd3393c825
B02F37U7VY,缪氏川菜(南山店),餐饮服务;中餐厅;四川菜(川菜),南山大道2068号南侨花园1层,113.925069,22.530186,广东省,深圳市,南山区,4.0,62.00,0755-26664819;0755-86240218,http://store.is.autonavi.com/showpic/1916088c08ab9d8007fb118c2a77013f,http://store.is.autonavi.com/showpic/59d1d21cf5911dee303411dedf908f9c,http://store.is.autonavi.com/showpic/f7fd88b0ec13f8cf1cc4e0f670b43130
B02F37V73S,永和快餐大王(太安店),餐饮服务;快餐厅;快餐厅,太安路46号(近东晓路),114.137072,22.572006,广东省,深圳市,罗湖区,3.5,32.00,0755-25008248;0755-25003626,http://store.is.autonavi.com/showpic/f96ca19682c2e74465bfaadb57eab9c2,http://store.is.autonavi.com/showpic/7ac0fb19043f5851d99fe6ea5fa723a1,http://store.is.autonavi.com/showpic/1a8ed55badd7c1cd5337d9885beb4fea
B02F37UHEZ,雨花西餐厅(龙城店),餐饮服务;外国餐厅;西餐厅(综合风味),松仔岭二路110号,114.245122,22.727246,广东省,深圳市,龙岗区,3.5,100.00,0755-28960001,http://store.is.autonavi.com/showpic/7325439713c1f1c0c8282e2c91d1e32a,http://store.is.autonavi.com/showpic/ba80670c10bdb4d1596884350f89c075,http://store.is.autonavi.com/showpic/52c6d901e2739ec938966be3ff42e721
B02F37WKYQ,北海渔村(振兴店),餐饮服务;中餐厅;海鲜酒楼,华强北振兴西路154号,114.083539,22.546826,广东省,深圳市,福田区,4.0,93.00,0755-83269288;0755-83266668,http://store.is.autonavi.com/showpic/942a4566e3c3746cc39a50c22590e513,http://store.is.autonavi.com/showpic/566e25d6d5238de16cdda6008a334c6d,http://store.is.autonavi.com/showpic/8961ae9cdba63d68387e07c65824812c
B02F37VZZS,千味涮(购物公园店),餐饮服务;中餐厅;火锅店,福华三路268号星河·Coco Park3层,114.054448,22.533230,广东省,深圳市,福田区,4.0,86.00,0755-25313875,http://store.is.autonavi.com/showpic/415a3d373a0667f6a1a14b4ce8c29f07,http://store.is.autonavi.com/showpic/40263df6d985a070be8fa628e56631f8,http://store.is.autonavi.com/showpic/b1a3803bec137034503e35f76487491e
