id,name,type,address,lng,lat,pname,cityname,adminname,biz_ext_rating,biz_ext_cost,telephone,photourl1,photourl2,photourl3
B02F37U4VE,深圳华侨城旅游度假区,体育休闲服务;度假疗养场所;度假村|风景名胜;风景名胜相关;旅游景点,深南大道,113.984715,22.538809,广东省,深圳市,南山区,-1,170.00,-1,http://store.is.autonavi.com/showpic/0b5e5202bf5fe3a876fe63e5bfe0c84e,http://store.is.autonavi.com/showpic/7f6b4abb7e137ccbbef9750f208e917e,http://store.is.autonavi.com/showpic/3d1f88a2fa957513f26ca9dbaa354df9
B02F37V7IB,深圳野生动物园,风景名胜;公园广场;动物园,西丽镇西丽路4065号,113.972116,22.598884,广东省,深圳市,南山区,4.0,240.00,0755-26622888,http://store.is.autonavi.com/showpic/b900d91c7041689fe8a32da066276404,http://store.is.autonavi.com/showpic/3d556317fcc38372241b8f5d5eea87b5,http://store.is.autonavi.com/showpic/3cc42973c5ffbf0d1c5d8cd1e09c8139
B02F37T4NJ,深圳仙湖植物园,风景名胜;公园广场;植物园,仙湖路160号,114.174956,22.578596,广东省,深圳市,罗湖区,3.5,15.00,0755-25738430;0755-25722184,http://store.is.autonavi.com/showpic/668e312809848465501e6b0dd383a638,http://store.is.autonavi.com/showpic/0566fc19a87354c159893ec7824c168e,http://store.is.autonavi.com/showpic/ce99400a2a233988dba3ea41494e2f7d
B02F38JEEZ,金沙湾,风景名胜;风景名胜;海滩,大鹏新区大鹏街道下沙社区金沙路(近金沙湾大酒店),114.457984,22.570560,广东省,深圳市,龙岗区,3.5,-1,-1,http://store.is.autonavi.com/showpic/9e24141f7b21544daaa1922951e0596b,http://store.is.autonavi.com/showpic/26f786b8beb7572012fb199b53e01d49,http://store.is.autonavi.com/showpic/ba7e11f30a948bf5d28be06fc2ed5f67
B02F37V2O5,世界之窗,风景名胜;风景名胜;国家级景点,深南大道9037号,113.972976,22.534607,广东省,深圳市,南山区,5.0,200.00,0755-26608000;0755-82152156,http://store.is.autonavi.com/showpic/e74cf98a83eabf1c712be171744c89b5,http://store.is.autonavi.com/showpic/cc162b839baa52af6bb6b3ee4376a71a,http://store.is.autonavi.com/showpic/5b9ce17d33c805f6b4bee5e7dca9918f
B02F37V252,华强北路,风景名胜;风景名胜相关;旅游景点,华强北路3005号,114.086621,22.547015,广东省,深圳市,福田区,3.9,-1,-1,http://store.is.autonavi.com/showpic/91b0ec91244053f681abe1afc874f2a1,-1,-1
B02F300115,梧桐山风景名胜区,风景名胜;风景名胜;国家级景点,莲塘罗沙路2076号,114.214704,22.57771,广东省,深圳市,罗湖区,-1,-1,0755-25708918;0755-25355818,http://store.is.autonavi.com/showpic/1ead135101fbeb50aa17ed7464fa24d5,http://store.is.autonavi.com/showpic/599f023e3d98b0f8e14895d8a5d52f85,http://store.is.autonavi.com/showpic/7020fc7cbbfd6b4c01b4b5849cfc18ee
B02F302799,龙华公园,风景名胜;公园广场;公园,人民路4279号,114.016897,22.657326,广东省,深圳市,龙华区,3.5,-1,-1,http://store.is.autonavi.com/showpic/947288da1098955b6dc6239f409e8558,http://store.is.autonavi.com/showpic/edf12a54d5eb7410854371383465ffa6,http://store.is.autonavi.com/showpic/a178c0ae8c48b2b5c3644e3a1c832a83
B02F37VQ95,凤凰山森林公园,风景名胜;风景名胜;风景名胜,福永街道凤凰社区,113.84985,22.673542,广东省,深圳市,宝安区,-1,26.00,-1,http://store.is.autonavi.com/showpic/5aaf3e21e49c86f54ca595e56732f445,http://store.is.autonavi.com/showpic/24c8daedf1f662315ded62034686e9fb,http://store.is.autonavi.com/showpic/5efaaa96cb7aa6222273a4c92de0bff2
B02F37VPCW,宝安公园,风景名胜;公园广场;公园,公园路,113.90268,22.586228,广东省,深圳市,宝安区,4.0,-1,0755-29189220,http://store.is.autonavi.com/showpic/7502a170d61f50708c4345da79238a60,http://store.is.autonavi.com/showpic/60801bb2dc1fe419d7cb30c66e546fb3,http://store.is.autonavi.com/showpic/8641d85f46d86035bee107f0fb479a31
B02F306L5G,莲花山公园,风景名胜;公园广场;公园,红荔路6030号,114.058572,22.553523,广东省,深圳市,福田区,3.7,-1,0755-83067950,http://store.is.autonavi.com/showpic/f66d8eb4b58894e29c640a74f05e4eff,http://store.is.autonavi.com/showpic/8de8cf30672da5013b2c2deffadba723,http://store.is.autonavi.com/showpic/5a24153a3aff6225df1e6bf628f7c44a
B02F3001AA,大梅沙海滨公园,风景名胜;公园广场;公园,盐梅路33号,114.30797,22.59242,广东省,深圳市,盐田区,4.5,-1,0755-25061070,http://store.is.autonavi.com/showpic/598d95aa17de5df51f3687a826be3d99,http://store.is.autonavi.com/showpic/64de7a09d5fd155e6b2475bdfbcd882c,http://store.is.autonavi.com/showpic/a032930328e2fae336f9a93c7ad387eb
B02F30242A,中山公园,风景名胜;公园广场;公园,南山大道3109号(近汇泉广场),113.918865,22.54774,广东省,深圳市,南山区,4.0,23.00,0755-26612335,http://store.is.autonavi.com/showpic/825108dd28382cbb23de4f39bfb27880,http://store.is.autonavi.com/showpic/9f1ae988d7b64da55c7589b93032173c,http://store.is.autonavi.com/showpic/b266c9a25137664556a18eb3364dc553
